page-blocks0
       nu    gamma  precision    recall        f1
122  0.25  30.0000   0.632911  0.193365  0.296227
123  0.25  10.0000   0.631507  0.187665  0.289346
124  0.25   3.0000   0.631542  0.184205  0.285219
125  0.50   0.0300   0.594697  0.159780  0.251885
126  0.20   1.0000   0.594300  0.144311  0.232231
127  0.15   0.0030   0.620072  0.140851  0.229557
128  0.20   0.3000   0.592048  0.139426  0.225700
129  0.20  30.0000   0.559967  0.137798  0.221170
130  0.15   0.0001   0.608133  0.133930  0.219516
131  0.15   0.0003   0.607771  0.133727  0.219219
132  0.15   0.0010   0.606679  0.133116  0.218327
133  0.20  10.0000   0.560708  0.135355  0.218069
134  0.20   3.0000   0.567753  0.134745  0.217799
135  0.35   0.0030   0.544572  0.125585  0.204102
136  0.60   0.0300   0.538865  0.125585  0.203698
137  0.50   0.0100   0.537037  0.123957  0.201422
138  0.30   0.0100   0.524254  0.114390  0.187803
139  0.55   0.0010   0.512218  0.110930  0.182366
140  0.10   0.1000   0.563656  0.105435  0.177641
141  0.15   0.1000   0.548701  0.103196  0.173719
142  0.85   0.0300   0.488557  0.099939  0.165934
143  0.15   1.0000   0.535714  0.097700  0.165261
144  0.20   0.0030   0.519084  0.096886  0.163293
145  0.15   0.3000   0.531073  0.095665  0.162125
146  0.90   0.0300   0.482270  0.096886  0.161356
147  0.20   0.0010   0.517089  0.095461  0.161168
148  0.20   0.0003   0.515952  0.095461  0.161113
149  0.20   0.0001   0.514851  0.095257  0.160769
150  0.40   0.0100   0.479633  0.095868  0.159796
151  0.15   3.0000   0.511680  0.093629  0.158293
152  0.15  30.0000   0.494118  0.094036  0.158003
153  0.65   0.0300   0.470894  0.092204  0.154213
154  0.70   0.0300   0.470894  0.092204  0.154213
155  0.95   0.0300   0.469854  0.092001  0.153872
156  0.85   0.0003   0.469303  0.091797  0.153558
157  0.90   0.0001   0.469303  0.091797  0.153558
158  0.90   0.0100   0.469303  0.091797  0.153558
159  0.95   0.0001   0.469303  0.091797  0.153558
160  0.95   0.0100   0.469303  0.091797  0.153558
161  0.65   0.0100   0.469239  0.091594  0.153270
162  0.60   0.0100   0.468685  0.091390  0.152955
163  0.70   0.0003   0.468685  0.091390  0.152955
164  0.70   0.0100   0.468685  0.091390  0.152955
165  0.70   0.0001   0.468130  0.091187  0.152641
166  0.75   0.0003   0.468130  0.091187  0.152641
167  0.80   0.0010   0.468130  0.091187  0.152641
168  0.80   0.0030   0.468130  0.091187  0.152641
169  0.75   0.0001   0.468063  0.090983  0.152352
170  0.75   0.0010   0.468063  0.090983  0.152352
171  0.75   0.0030   0.468063  0.090983  0.152352
172  0.85   0.0010   0.467573  0.090983  0.152326
173  0.85   0.0030   0.467573  0.090983  0.152326
174  0.90   0.0003   0.467573  0.090983  0.152326
175  0.90   0.0010   0.467085  0.090983  0.152300
176  0.90   0.0030   0.467085  0.090983  0.152300
177  0.95   0.0010   0.467085  0.090983  0.152300
178  0.95   0.0030   0.467085  0.090983  0.152300
179  0.65   0.0001   0.467016  0.090780  0.152011
180  0.65   0.0003   0.467016  0.090780  0.152011
181  0.65   0.0030   0.467016  0.090780  0.152011
182  0.70   0.0030   0.467016  0.090780  0.152011
183  0.80   0.0001   0.467016  0.090780  0.152011
184  0.85   0.0001   0.467016  0.090780  0.152011
185  0.95   0.0003   0.466527  0.090780  0.151985
186  0.55   0.0100   0.467928  0.090576  0.151774
187  0.60   0.0003   0.466807  0.090169  0.151143
188  0.60   0.0030   0.466316  0.090169  0.151117
189  0.60   0.0001   0.466245  0.089965  0.150828
190  0.25   0.0030   0.478118  0.088948  0.149991
191  0.55   0.0001   0.463983  0.089151  0.149565
192  0.55   0.0003   0.463983  0.089151  0.149565
193  0.50   0.0010   0.462766  0.088541  0.148642
194  0.35   0.0100   0.464171  0.088337  0.148427
195  0.50   0.0003   0.462687  0.088337  0.148351
196  0.45   0.0001   0.462607  0.088134  0.148059
197  0.45   0.0003   0.462113  0.088134  0.148034
198  0.50   0.0001   0.462113  0.088134  0.148034
199  0.45   0.0010   0.461538  0.087930  0.147718
200  0.25   0.0001   0.474033  0.087319  0.147473
201  0.25   0.0003   0.474033  0.087319  0.147473
202  0.40   0.0003   0.461951  0.087726  0.147451
203  0.40   0.0010   0.461951  0.087726  0.147451
204  0.25   0.0010   0.473451  0.087116  0.147155
205  0.30   0.0030   0.464286  0.087319  0.146993
206  0.40   0.0001   0.461290  0.087319  0.146842
207  0.15  10.0000   0.466083  0.086709  0.146216
208  0.30   0.0001   0.464558  0.086709  0.146141
209  0.30   0.0010   0.463468  0.086505  0.145798
210  0.35   0.0003   0.459459  0.086505  0.145598
211  0.35   0.0010   0.459459  0.086505  0.145598
212  0.30   0.0003   0.462882  0.086302  0.145479
213  0.35   0.0001   0.459372  0.086302  0.145305
214  0.10  30.0000   0.489884  0.069001  0.120963
215  0.10   0.0300   0.444284  0.062487  0.109565
216  0.10   3.0000   0.456829  0.059231  0.104865
217  0.10  10.0000   0.430124  0.056381  0.099694
218  0.10   1.0000   0.414286  0.053124  0.094173
219  0.10   0.3000   0.408163  0.052921  0.093694
220  0.05  30.0000   0.478372  0.038266  0.070863
221  0.05  10.0000   0.445748  0.030938  0.057861
222  0.05   3.0000   0.418283  0.030735  0.057262
223  0.05   0.0300   0.364362  0.027885  0.051806
224  0.05   1.0000   0.376437  0.026664  0.049800
225  0.05   0.0100   0.362360  0.026257  0.048966
226  0.05   0.3000   0.371014  0.026053  0.048688
227  0.05   0.1000   0.366762  0.026053  0.048651
nu_gamma_f1: [0.9500000000000001, 10, 0.92283464566929141]
Confusion matrix:
Prediction   -1     1
Target               
-1            0   559
 1          225  4688
Confusion matrix:
[[   0  559]
 [ 225 4688]]
precision: 0.893462931199, recall: 0.954203134541, f1-score: 0.922834645669
