segment0
       nu    gamma  precision    recall        f1
122  0.40   0.0001   0.900778  0.467913  0.615896
123  0.45  30.0000   0.861653  0.468924  0.607330
124  0.45   0.0030   0.906061  0.453259  0.604244
125  0.45   0.0001   0.905680  0.451238  0.602361
126  0.45   0.0003   0.905680  0.451238  0.602361
127  0.45   0.0010   0.905680  0.451238  0.602361
128  0.50   0.0001   0.911672  0.438100  0.591809
129  0.40   0.1000   0.904266  0.439111  0.591156
130  0.65   0.0100   0.916136  0.436079  0.590894
131  0.50   0.0003   0.911486  0.437089  0.590847
132  0.50   0.0010   0.911392  0.436584  0.590366
133  0.50   0.0030   0.910432  0.436584  0.590164
134  0.75   0.0100   0.921505  0.433047  0.589206
135  0.40   0.0100   0.904712  0.436584  0.588957
136  0.55   0.0030   0.911017  0.434563  0.588437
137  0.75   0.0010   0.921654  0.427994  0.584541
138  0.80   0.0030   0.921654  0.427994  0.584541
139  0.55   0.0001   0.913793  0.428499  0.583419
140  0.55   0.0003   0.913420  0.426478  0.581467
141  0.55   0.0010   0.913420  0.426478  0.581467
142  0.40   3.0000   0.907626  0.426983  0.580756
143  0.60   0.0003   0.917673  0.422436  0.578547
144  0.40   0.3000   0.904301  0.424962  0.578206
145  0.60   0.0010   0.917582  0.421930  0.578055
146  0.60   0.0001   0.916575  0.421930  0.577855
147  0.40   0.0300   0.904555  0.421425  0.574974
148  0.40   1.0000   0.898816  0.421930  0.574278
149  0.65   0.0010   0.921700  0.416372  0.573616
150  0.65   0.0003   0.920670  0.416372  0.573417
151  0.65   0.0001   0.917686  0.416877  0.573315
152  0.70   0.0001   0.920545  0.409803  0.567133
153  0.90   0.0100   0.922551  0.409298  0.567028
154  0.40  10.0000   0.884244  0.416877  0.566621
155  0.70   0.0003   0.919134  0.407782  0.564928
156  0.80   0.0003   0.921053  0.406771  0.564318
157  0.85   0.0003   0.922018  0.406266  0.564013
158  0.85   0.0030   0.922018  0.406266  0.564013
159  0.90   0.0030   0.922018  0.406266  0.564013
160  0.85   0.0001   0.920962  0.406266  0.563815
161  0.90   0.0001   0.921929  0.405760  0.563509
162  0.90   0.0010   0.921929  0.405760  0.563509
163  0.95   0.0001   0.921929  0.405760  0.563509
164  0.95   0.0003   0.921839  0.405255  0.563005
165  0.95   0.0010   0.921839  0.405255  0.563005
166  0.95   0.0030   0.921839  0.405255  0.563005
167  0.75   0.0001   0.919633  0.404750  0.562105
168  0.75   0.0003   0.919633  0.404750  0.562105
169  0.80   0.0001   0.920598  0.404245  0.561798
170  0.30   0.0100   0.902746  0.398686  0.553102
171  0.35   0.0300   0.904142  0.386054  0.541076
172  0.40  30.0000   0.864804  0.391107  0.538622
173  0.35   3.0000   0.910539  0.375442  0.531664
174  0.35   0.1000   0.907317  0.375947  0.531618
175  0.35   1.0000   0.904529  0.373421  0.528612
176  0.35   0.3000   0.908755  0.372410  0.528315
177  0.35   0.0100   0.909429  0.370389  0.526391
178  0.35  10.0000   0.890378  0.369378  0.522143
179  0.25   0.0300   0.909091  0.338555  0.493373
180  0.35  30.0000   0.865212  0.340576  0.488760
181  0.30   3.0000   0.918195  0.328954  0.484375
182  0.30   0.3000   0.910384  0.323396  0.477256
183  0.30   0.0300   0.909742  0.320869  0.474412
184  0.30   1.0000   0.907914  0.318848  0.471952
185  0.30   0.1000   0.909091  0.318343  0.471557
186  0.30  10.0000   0.892655  0.319353  0.470413
187  0.05   0.0010   0.900730  0.311774  0.463213
188  0.30  30.0000   0.868976  0.291561  0.436625
189  0.05   0.0030   0.911223  0.274886  0.422360
190  0.25  30.0000   0.870458  0.278423  0.421899
191  0.25   0.3000   0.918506  0.273370  0.421340
192  0.15   0.0030   0.919795  0.272360  0.420273
193  0.25   1.0000   0.916239  0.270844  0.418097
194  0.25   0.1000   0.927083  0.269833  0.418004
195  0.25   3.0000   0.914237  0.269328  0.416081
196  0.15   0.0100   0.927536  0.258717  0.404583
197  0.25  10.0000   0.896057  0.252653  0.394166
198  0.20   0.0300   0.935223  0.233451  0.373635
199  0.20  30.0000   0.870722  0.231430  0.365669
200  0.20   0.3000   0.941053  0.225872  0.364303
201  0.15   0.0300   0.940928  0.225366  0.363636
202  0.20   0.1000   0.942308  0.222840  0.360441
203  0.20   3.0000   0.912863  0.222335  0.357578
204  0.20   1.0000   0.931183  0.218797  0.354337
205  0.20  10.0000   0.893443  0.220313  0.353466
206  0.15  30.0000   0.882217  0.193027  0.316750
207  0.15   0.1000   0.956757  0.178878  0.301405
208  0.15   0.3000   0.958564  0.175341  0.296455
209  0.15   3.0000   0.928375  0.170288  0.287788
210  0.15   1.0000   0.935393  0.168267  0.285225
211  0.15  10.0000   0.892183  0.167256  0.281702
212  0.10  30.0000   0.867257  0.148560  0.253667
213  0.10   0.0100   0.950617  0.116726  0.207921
214  0.10   0.1000   0.950617  0.116726  0.207921
215  0.05   0.0100   0.938017  0.114704  0.204412
216  0.10   0.0300   0.949580  0.114199  0.203879
217  0.10   0.3000   0.953390  0.113694  0.203160
218  0.10  10.0000   0.918699  0.114199  0.203146
219  0.10   3.0000   0.952991  0.112683  0.201536
220  0.05  30.0000   0.875000  0.113188  0.200447
221  0.10   1.0000   0.944206  0.111167  0.198915
222  0.05  10.0000   0.902597  0.070237  0.130333
223  0.05   0.0300   0.968254  0.061647  0.115914
224  0.05   0.1000   0.975000  0.059121  0.111482
225  0.05   0.3000   0.966667  0.058615  0.110529
226  0.05   1.0000   1.000000  0.055078  0.104406
227  0.05   3.0000   0.947368  0.054573  0.103201
nu_gamma_f1: [0.9500000000000001, 10, 0.90782858510892983]
Confusion matrix:
Prediction  -1     1
Target              
-1          27   302
 1          83  1896
Confusion matrix:
[[  27  302]
 [  83 1896]]
precision: 0.862602365787, recall: 0.958059626074, f1-score: 0.907828585109
