mnist classes = 2
size: 1000
(122,)
(878,)
       nu    gamma  precision    recall        f1
121  0.05   1.0000   0.870000  0.198178  0.322820
122  0.05   3.0000   0.870000  0.198178  0.322820
123  0.05  10.0000   0.870000  0.198178  0.322820
124  0.05  30.0000   0.870000  0.198178  0.322820
125  0.10   0.0003   0.870000  0.198178  0.322820
126  0.10   0.0010   0.870000  0.198178  0.322820
127  0.10   0.0030   0.870000  0.198178  0.322820
128  0.10   0.0100   0.870000  0.198178  0.322820
129  0.10   0.0300   0.870000  0.198178  0.322820
130  0.10   0.1000   0.870000  0.198178  0.322820
131  0.10   0.3000   0.870000  0.198178  0.322820
132  0.10   1.0000   0.870000  0.198178  0.322820
133  0.10   3.0000   0.870000  0.198178  0.322820
134  0.10  10.0000   0.870000  0.198178  0.322820
135  0.10  30.0000   0.870000  0.198178  0.322820
136  0.20   0.0003   0.870000  0.198178  0.322820
137  0.20   0.0010   0.870000  0.198178  0.322820
138  0.20   0.0030   0.870000  0.198178  0.322820
139  0.20   0.0100   0.870000  0.198178  0.322820
140  0.20   0.0300   0.870000  0.198178  0.322820
141  0.20   0.1000   0.870000  0.198178  0.322820
142  0.20   0.3000   0.870000  0.198178  0.322820
143  0.20   1.0000   0.870000  0.198178  0.322820
144  0.20   3.0000   0.870000  0.198178  0.322820
145  0.20  10.0000   0.870000  0.198178  0.322820
146  0.20  30.0000   0.870000  0.198178  0.322820
147  0.25   0.0003   0.870000  0.198178  0.322820
148  0.25   0.0010   0.870000  0.198178  0.322820
149  0.25   0.0030   0.870000  0.198178  0.322820
150  0.25   0.0100   0.870000  0.198178  0.322820
151  0.25   0.0300   0.870000  0.198178  0.322820
152  0.25   0.1000   0.870000  0.198178  0.322820
153  0.25   0.3000   0.870000  0.198178  0.322820
154  0.25   1.0000   0.870000  0.198178  0.322820
155  0.25   3.0000   0.870000  0.198178  0.322820
156  0.25  10.0000   0.870000  0.198178  0.322820
157  0.25  30.0000   0.870000  0.198178  0.322820
158  0.30   0.0001   0.870000  0.198178  0.322820
159  0.35   0.0001   0.870000  0.198178  0.322820
160  0.35   0.0003   0.870000  0.198178  0.322820
161  0.35   0.0010   0.870000  0.198178  0.322820
162  0.35   0.0030   0.870000  0.198178  0.322820
163  0.35   0.0100   0.870000  0.198178  0.322820
164  0.35   0.0300   0.870000  0.198178  0.322820
