/usr/bin/python /Users/LT/Documents/Uni/MA/increOCSVM/evaluation_2.py
mnist classes = 2
size: 500
       nu    gamma  precision    recall        f1
125  0.35   0.0100       0.76  0.208219  0.326882
126  0.35   0.0300       0.76  0.208219  0.326882
127  0.35   0.1000       0.76  0.208219  0.326882
128  0.35   0.3000       0.76  0.208219  0.326882
129  0.35   1.0000       0.76  0.208219  0.326882
130  0.35   3.0000       0.76  0.208219  0.326882
131  0.35  10.0000       0.76  0.208219  0.326882
132  0.35  30.0000       0.76  0.208219  0.326882
133  0.40   0.0001       0.76  0.208219  0.326882
134  0.45   0.0003       0.76  0.208219  0.326882
135  0.45   0.0010       0.76  0.208219  0.326882
136  0.45   0.0030       0.76  0.208219  0.326882
137  0.45   0.0100       0.76  0.208219  0.326882
138  0.45   0.0300       0.76  0.208219  0.326882
139  0.45   0.1000       0.76  0.208219  0.326882
140  0.45   0.3000       0.76  0.208219  0.326882
141  0.45   1.0000       0.76  0.208219  0.326882
142  0.45   3.0000       0.76  0.208219  0.326882
143  0.45  10.0000       0.76  0.208219  0.326882
144  0.45  30.0000       0.76  0.208219  0.326882
145  0.50   0.0001       0.76  0.208219  0.326882
146  0.50   0.0003       0.76  0.208219  0.326882
147  0.50   0.0010       0.76  0.208219  0.326882
148  0.50   0.0030       0.76  0.208219  0.326882
149  0.50   0.0100       0.76  0.208219  0.326882
150  0.50   0.0300       0.76  0.208219  0.326882
151  0.50   0.1000       0.76  0.208219  0.326882
152  0.50   0.3000       0.76  0.208219  0.326882
153  0.50   1.0000       0.76  0.208219  0.326882
154  0.50   3.0000       0.76  0.208219  0.326882
155  0.50  10.0000       0.76  0.208219  0.326882
156  0.50  30.0000       0.76  0.208219  0.326882
157  0.55   0.0001       0.76  0.208219  0.326882
158  0.60   0.0003       0.76  0.208219  0.326882
159  0.60   0.0010       0.76  0.208219  0.326882
160  0.60   0.0030       0.76  0.208219  0.326882
161  0.60   0.0100       0.76  0.208219  0.326882
162  0.60   0.0300       0.76  0.208219  0.326882
163  0.60   0.1000       0.76  0.208219  0.326882
164  0.60   0.3000       0.76  0.208219  0.326882
165  0.60   1.0000       0.76  0.208219  0.326882
166  0.60   3.0000       0.76  0.208219  0.326882
167  0.60  10.0000       0.76  0.208219  0.326882
168  0.60  30.0000       0.76  0.208219  0.326882
169  0.65   0.0001       0.76  0.208219  0.326882
170  0.70   0.0003       0.76  0.208219  0.326882
171  0.70   0.0010       0.76  0.208219  0.326882
172  0.70   0.0030       0.76  0.208219  0.326882
173  0.70   0.0100       0.76  0.208219  0.326882
174  0.70   0.0300       0.76  0.208219  0.326882
175  0.70   0.1000       0.76  0.208219  0.326882
176  0.70   0.3000       0.76  0.208219  0.326882
177  0.70   1.0000       0.76  0.208219  0.326882
178  0.70   3.0000       0.76  0.208219  0.326882
179  0.70  10.0000       0.76  0.208219  0.326882
180  0.70  30.0000       0.76  0.208219  0.326882
181  0.75   0.0001       0.76  0.208219  0.326882
182  0.75   0.0003       0.76  0.208219  0.326882
183  0.75   0.0010       0.76  0.208219  0.326882
184  0.75   0.0030       0.76  0.208219  0.326882
185  0.75   0.0100       0.76  0.208219  0.326882
186  0.75   0.0300       0.76  0.208219  0.326882
187  0.75   0.1000       0.76  0.208219  0.326882
188  0.75   0.3000       0.76  0.208219  0.326882
189  0.75   1.0000       0.76  0.208219  0.326882
190  0.75   3.0000       0.76  0.208219  0.326882
191  0.75  10.0000       0.76  0.208219  0.326882
192  0.75  30.0000       0.76  0.208219  0.326882
193  0.80   0.0001       0.76  0.208219  0.326882
194  0.85   0.0001       0.76  0.208219  0.326882
195  0.85   0.0003       0.76  0.208219  0.326882
196  0.85   0.0010       0.76  0.208219  0.326882
197  0.85   0.0030       0.76  0.208219  0.326882
198  0.85   0.0100       0.76  0.208219  0.326882
199  0.85   0.0300       0.76  0.208219  0.326882
200  0.85   0.1000       0.76  0.208219  0.326882
201  0.85   0.3000       0.76  0.208219  0.326882
202  0.85   1.0000       0.76  0.208219  0.326882
203  0.85   3.0000       0.76  0.208219  0.326882
204  0.85  10.0000       0.76  0.208219  0.326882
205  0.85  30.0000       0.76  0.208219  0.326882
206  0.90   0.0003       0.76  0.208219  0.326882
207  0.90   0.0010       0.76  0.208219  0.326882
208  0.90   0.0030       0.76  0.208219  0.326882
209  0.90   0.0100       0.76  0.208219  0.326882
210  0.90   0.0300       0.76  0.208219  0.326882
211  0.90   0.1000       0.76  0.208219  0.326882
212  0.90   0.3000       0.76  0.208219  0.326882
213  0.90   1.0000       0.76  0.208219  0.326882
214  0.90   3.0000       0.76  0.208219  0.326882
215  0.90  10.0000       0.76  0.208219  0.326882
216  0.90  30.0000       0.76  0.208219  0.326882
217  0.95   0.0003       0.76  0.208219  0.326882
218  0.95   0.0010       0.76  0.208219  0.326882
219  0.95   0.0030       0.76  0.208219  0.326882
220  0.95   0.0100       0.76  0.208219  0.326882
221  0.95   0.0300       0.76  0.208219  0.326882
222  0.95   0.1000       0.76  0.208219  0.326882
223  0.95   0.3000       0.76  0.208219  0.326882
224  0.95   1.0000       0.76  0.208219  0.326882
225  0.95   3.0000       0.76  0.208219  0.326882
226  0.95  10.0000       0.76  0.208219  0.326882
227  0.95  30.0000       0.76  0.208219  0.326882
nu_gamma_f1: [0.05, 0.0001, 0.32688172043010749]
Confusion matrix:
Prediction   -1   1
Target             
-1          111  24
 1          289  76
Confusion matrix:
[[111  24]
 [289  76]]
precision: 0.76, recall: 0.208219178082, f1-score: 0.32688172043

Process finished with exit code 0
